2018-01-04 14:00:19 install mysql-client-core-5.5:amd64 <none> 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:19 status half-installed mysql-client-core-5.5:amd64 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:19 status unpacked mysql-client-core-5.5:amd64 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:19 status unpacked mysql-client-core-5.5:amd64 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:19 install mysql-client-5.5:amd64 <none> 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:19 status half-installed mysql-client-5.5:amd64 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:19 status unpacked mysql-client-5.5:amd64 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:19 status unpacked mysql-client-5.5:amd64 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:19 install mysql-client:all <none> 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:19 status half-installed mysql-client:all 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:19 status unpacked mysql-client:all 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:19 status unpacked mysql-client:all 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:19 install python-mysql.connector:all <none> 1.1.6-1
2018-01-04 14:00:19 status half-installed python-mysql.connector:all 1.1.6-1
2018-01-04 14:00:19 status unpacked python-mysql.connector:all 1.1.6-1
2018-01-04 14:00:19 status unpacked python-mysql.connector:all 1.1.6-1
2018-01-04 14:00:19 install mysql-utilities:all <none> 1.3.5-2
2018-01-04 14:00:19 status half-installed mysql-utilities:all 1.3.5-2
2018-01-04 14:00:19 status unpacked mysql-utilities:all 1.3.5-2
2018-01-04 14:00:19 status unpacked mysql-utilities:all 1.3.5-2
2018-01-04 14:00:19 install mysql-workbench-data:all <none> 6.0.8+dfsg-2
2018-01-04 14:00:19 status half-installed mysql-workbench-data:all 6.0.8+dfsg-2
2018-01-04 14:00:19 status triggers-pending hicolor-icon-theme:all 0.13-1
2018-01-04 14:00:19 status half-installed mysql-workbench-data:all 6.0.8+dfsg-2
2018-01-04 14:00:20 status unpacked mysql-workbench-data:all 6.0.8+dfsg-2
2018-01-04 14:00:20 status unpacked mysql-workbench-data:all 6.0.8+dfsg-2
2018-01-04 14:00:20 install python-paramiko:all <none> 1.10.1-1git1build1
2018-01-04 14:00:20 status half-installed python-paramiko:all 1.10.1-1git1build1
2018-01-04 14:00:20 status unpacked python-paramiko:all 1.10.1-1git1build1
2018-01-04 14:00:20 status unpacked python-paramiko:all 1.10.1-1git1build1
2018-01-04 14:00:20 install python-pyodbc:amd64 <none> 3.0.6-2
2018-01-04 14:00:20 status half-installed python-pyodbc:amd64 3.0.6-2
2018-01-04 14:00:20 status unpacked python-pyodbc:amd64 3.0.6-2
2018-01-04 14:00:20 status unpacked python-pyodbc:amd64 3.0.6-2
2018-01-04 14:00:20 install mysql-workbench:amd64 <none> 6.0.8+dfsg-2
2018-01-04 14:00:20 status half-installed mysql-workbench:amd64 6.0.8+dfsg-2
2018-01-04 14:00:20 status triggers-pending mime-support:all 3.54ubuntu1.1
2018-01-04 14:00:21 status triggers-pending desktop-file-utils:amd64 0.22-1ubuntu1.1
2018-01-04 14:00:21 status half-installed mysql-workbench:amd64 6.0.8+dfsg-2
2018-01-04 14:00:21 status triggers-pending gnome-menus:amd64 3.10.1-0ubuntu2
2018-01-04 14:00:21 status triggers-pending mime-support:all 3.54ubuntu1.1
2018-01-04 14:00:21 status triggers-pending shared-mime-info:amd64 1.2-0ubuntu3
2018-01-04 14:00:21 status half-installed mysql-workbench:amd64 6.0.8+dfsg-2
2018-01-04 14:00:21 status unpacked mysql-workbench:amd64 6.0.8+dfsg-2
2018-01-04 14:00:21 status unpacked mysql-workbench:amd64 6.0.8+dfsg-2
2018-01-04 14:00:21 install ttf-bitstream-vera:all <none> 1.10-8
2018-01-04 14:00:21 status half-installed ttf-bitstream-vera:all 1.10-8
2018-01-04 14:00:21 status triggers-pending fontconfig:amd64 2.11.0-0ubuntu4.2
2018-01-04 14:00:21 status half-installed ttf-bitstream-vera:all 1.10-8
2018-01-04 14:00:21 status unpacked ttf-bitstream-vera:all 1.10-8
2018-01-04 14:00:21 status unpacked ttf-bitstream-vera:all 1.10-8
2018-01-04 14:00:21 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2018-01-04 14:00:21 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2018-01-04 14:00:25 status installed man-db:amd64 2.6.7.1-1ubuntu1
2018-01-04 14:00:25 trigproc hicolor-icon-theme:all 0.13-1 0.13-1
2018-01-04 14:00:25 status half-configured hicolor-icon-theme:all 0.13-1
2018-01-04 14:00:30 status installed hicolor-icon-theme:all 0.13-1
2018-01-04 14:00:30 trigproc mime-support:all 3.54ubuntu1.1 3.54ubuntu1.1
2018-01-04 14:00:30 status half-configured mime-support:all 3.54ubuntu1.1
2018-01-04 14:00:31 status installed mime-support:all 3.54ubuntu1.1
2018-01-04 14:00:31 trigproc desktop-file-utils:amd64 0.22-1ubuntu1.1 0.22-1ubuntu1.1
2018-01-04 14:00:31 status half-configured desktop-file-utils:amd64 0.22-1ubuntu1.1
2018-01-04 14:00:31 status installed desktop-file-utils:amd64 0.22-1ubuntu1.1
2018-01-04 14:00:31 trigproc gnome-menus:amd64 3.10.1-0ubuntu2 3.10.1-0ubuntu2
2018-01-04 14:00:31 status half-configured gnome-menus:amd64 3.10.1-0ubuntu2
2018-01-04 14:00:31 status installed gnome-menus:amd64 3.10.1-0ubuntu2
2018-01-04 14:00:31 trigproc shared-mime-info:amd64 1.2-0ubuntu3 1.2-0ubuntu3
2018-01-04 14:00:31 status half-configured shared-mime-info:amd64 1.2-0ubuntu3
2018-01-04 14:00:32 status installed shared-mime-info:amd64 1.2-0ubuntu3
2018-01-04 14:00:32 trigproc fontconfig:amd64 2.11.0-0ubuntu4.2 2.11.0-0ubuntu4.2
2018-01-04 14:00:32 status half-configured fontconfig:amd64 2.11.0-0ubuntu4.2
2018-01-04 14:00:36 status installed fontconfig:amd64 2.11.0-0ubuntu4.2
2018-01-04 14:00:36 startup packages configure
2018-01-04 14:00:36 configure libodbc1:amd64 2.2.14p2-5ubuntu5 <none>
2018-01-04 14:00:36 status unpacked libodbc1:amd64 2.2.14p2-5ubuntu5
2018-01-04 14:00:36 status half-configured libodbc1:amd64 2.2.14p2-5ubuntu5
2018-01-04 14:00:36 status installed libodbc1:amd64 2.2.14p2-5ubuntu5
2018-01-04 14:00:36 status triggers-pending libc-bin:amd64 2.19-0ubuntu6.13
2018-01-04 14:00:36 configure libtinyxml2.6.2:amd64 2.6.2-2 <none>
2018-01-04 14:00:36 status unpacked libtinyxml2.6.2:amd64 2.6.2-2
2018-01-04 14:00:36 status half-configured libtinyxml2.6.2:amd64 2.6.2-2
2018-01-04 14:00:36 status installed libtinyxml2.6.2:amd64 2.6.2-2
2018-01-04 14:00:36 configure libvsqlitepp3:amd64 0.3.12-1ubuntu1 <none>
2018-01-04 14:00:36 status unpacked libvsqlitepp3:amd64 0.3.12-1ubuntu1
2018-01-04 14:00:36 status half-configured libvsqlitepp3:amd64 0.3.12-1ubuntu1
2018-01-04 14:00:36 status installed libvsqlitepp3:amd64 0.3.12-1ubuntu1
2018-01-04 14:00:36 configure libctemplate2:amd64 2.2-4ubuntu3 <none>
2018-01-04 14:00:36 status unpacked libctemplate2:amd64 2.2-4ubuntu3
2018-01-04 14:00:36 status half-configured libctemplate2:amd64 2.2-4ubuntu3
2018-01-04 14:00:36 status installed libctemplate2:amd64 2.2-4ubuntu3
2018-01-04 14:00:36 configure libdbi-perl:amd64 1.630-1 <none>
2018-01-04 14:00:36 status unpacked libdbi-perl:amd64 1.630-1
2018-01-04 14:00:36 status half-configured libdbi-perl:amd64 1.630-1
2018-01-04 14:00:36 status installed libdbi-perl:amd64 1.630-1
2018-01-04 14:00:36 configure libdbd-mysql-perl:amd64 4.025-1ubuntu0.1 <none>
2018-01-04 14:00:36 status unpacked libdbd-mysql-perl:amd64 4.025-1ubuntu0.1
2018-01-04 14:00:36 status half-configured libdbd-mysql-perl:amd64 4.025-1ubuntu0.1
2018-01-04 14:00:36 status installed libdbd-mysql-perl:amd64 4.025-1ubuntu0.1
2018-01-04 14:00:36 configure libmysqlcppconn7:amd64 1.1.3-5 <none>
2018-01-04 14:00:36 status unpacked libmysqlcppconn7:amd64 1.1.3-5
2018-01-04 14:00:36 status half-configured libmysqlcppconn7:amd64 1.1.3-5
2018-01-04 14:00:36 status installed libmysqlcppconn7:amd64 1.1.3-5
2018-01-04 14:00:36 configure libterm-readkey-perl:amd64 2.31-1 <none>
2018-01-04 14:00:36 status unpacked libterm-readkey-perl:amd64 2.31-1
2018-01-04 14:00:36 status half-configured libterm-readkey-perl:amd64 2.31-1
2018-01-04 14:00:36 status installed libterm-readkey-perl:amd64 2.31-1
2018-01-04 14:00:36 configure libzip2:amd64 0.10.1-1.2 <none>
2018-01-04 14:00:36 status unpacked libzip2:amd64 0.10.1-1.2
2018-01-04 14:00:36 status half-configured libzip2:amd64 0.10.1-1.2
2018-01-04 14:00:36 status installed libzip2:amd64 0.10.1-1.2
